2017-05-13 16:19:41
3,12,243,185,142,156,0.0,73.9625
1,13,245,74,-80,61,0.0,73.9625
2,13,244,68,-58,61,0.0,73.9625
4,12,243,73,-71,57,99397.75,73.9625
2,12,244,67,-57,55,99397.75,73.9625
2,13,244,70,-73,61,99397.75,73.85
2,13,244,54,-70,48,99397.75,73.85
1,13,245,64,-67,67,99397.75,73.85
1,13,243,63,-74,65,99397.75,73.85
2,13,245,62,-80,46,99397.75,73.9625
4,10,244,61,-68,50,99397.75,73.9625
2,12,245,62,-61,66,99397.75,73.9625
1,14,244,64,-67,60,99399.0,73.9625
1,13,244,49,-66,52,99399.0,73.9625
2,14,246,61,-74,66,99399.0,73.9625
1,14,246,71,-70,63,99399.0,73.9625
2,13,245,70,-64,63,99399.0,73.9625
4,10,244,62,-54,66,99399.0,73.9625
2,13,245,65,-78,51,99399.0,73.9625
1,12,244,69,-72,71,99399.0,73.85
2,13,245,73,-59,74,99399.0,73.85
1,13,244,69,-66,53,99401.75,73.85
1,12,245,66,-68,49,99401.75,73.85
1,12,245,57,-80,50,99401.75,73.85
2,13,244,65,-60,57,99401.75,73.85
2,13,245,70,-74,50,99401.75,73.85
1,13,246,64,-64,61,99401.75,73.85
3,14,243,66,-71,44,99401.75,73.85
2,13,245,69,-61,63,99401.75,73.85
1,14,245,61,-63,50,99401.75,73.85
3,12,243,69,-64,54,99400.0,73.85
1,13,245,71,-61,52,99400.0,73.85
2,12,245,63,-72,34,99400.0,73.85
1,12,245,64,-69,54,99400.0,73.85
2,13,244,65,-69,65,99400.0,73.85
1,12,245,53,-70,44,99400.0,73.9625
1,12,245,77,-71,62,99400.0,73.9625
1,13,245,61,-70,65,99400.0,73.9625
2,12,244,61,-72,56,99400.0,73.9625
2,12,245,56,-54,55,99398.5,73.9625
2,12,245,69,-68,48,99398.5,73.85
1,12,245,72,-65,65,99398.5,73.85
2,12,243,58,-67,69,99398.5,73.85
2,11,245,71,-71,57,99398.5,73.9625
1,14,243,64,-60,55,99398.5,73.9625
1,12,245,61,-57,55,99398.5,73.9625
3,12,246,62,-71,67,99398.5,73.9625
2,12,246,72,-76,57,99398.5,73.9625
1,13,244,50,-70,45,99395.75,73.9625
2,12,244,66,-64,56,99395.75,73.9625
2,13,244,67,-59,52,99395.75,73.85
1,13,246,65,-71,63,99395.75,73.85
2,14,244,73,-70,66,99395.75,73.85
2,13,243,66,-73,63,99395.75,73.85
2,13,244,73,-72,60,99395.75,73.85
1,13,246,77,-73,60,99395.75,73.85
2,13,245,63,-69,45,99395.75,73.85
2,13,244,61,-65,54,99397.5,73.85
1,13,244,70,-57,48,99397.5,73.85
2,13,244,68,-62,66,99397.5,73.85
1,14,245,72,-70,53,99397.5,73.85
3,14,243,60,-64,58,99397.5,73.85
2,11,244,66,-68,59,99397.5,73.9625
1,14,243,63,-71,52,99397.5,73.9625
1,13,244,68,-69,50,99397.5,73.85
2,12,245,62,-57,39,99397.5,73.85
1,14,245,78,-70,42,99396.75,73.9625
1,13,244,75,-60,47,99396.75,73.9625
2,13,244,61,-77,59,99396.75,73.9625
1,13,244,80,-53,59,99396.75,73.9625
2,13,245,73,-65,67,99396.75,73.9625
2,12,245,73,-63,47,99396.75,73.9625
2,13,245,88,-66,50,99396.75,73.9625
2,13,244,67,-70,55,99396.75,73.85
2,12,246,57,-70,56,99396.75,73.85
1,14,244,74,-60,64,99400.5,73.85
1,14,244,64,-62,59,99400.5,73.85
1,12,245,65,-64,40,99400.5,73.85
2,13,244,66,-68,48,99400.5,73.85
2,13,243,79,-66,59,99400.5,73.85
1,12,246,67,-77,66,99400.5,73.85
3,12,248,76,-86,57,99400.5,73.9625
1,12,244,69,-69,55,99400.5,73.9625
1,13,244,70,-68,49,99400.5,73.9625
1,13,244,62,-55,45,99402.25,73.9625
2,13,244,75,-69,51,99402.25,73.9625
2,13,245,65,-72,50,99402.25,73.9625
2,12,244,67,-60,54,99402.25,73.9625
2,12,246,72,-58,68,99402.25,73.9625
2,12,245,64,-84,55,99402.25,73.9625
3,14,242,63,-80,49,99402.25,73.85
2,13,244,75,-77,51,99402.25,73.85
2,13,244,82,-65,56,99402.25,73.85
3,12,245,69,-71,49,99401.5,73.85
1,12,245,58,-66,57,99401.5,73.85
3,14,244,63,-59,46,99401.5,73.85
1,11,244,57,-75,57,99401.5,73.85
1,14,244,73,-74,59,99401.5,73.85
2,13,246,65,-69,65,99401.5,73.85
2,12,246,70,-70,60,99401.5,73.85
1,13,245,75,-63,56,99401.5,73.85
1,13,245,69,-74,60,99401.5,73.85
2,13,246,75,-81,67,99401.25,73.85
2,12,243,60,-49,48,99401.25,73.85
2,13,244,72,-68,50,99401.25,73.85
2,12,244,63,-70,63,99401.25,73.85
1,13,244,57,-82,53,99401.25,73.85
1,14,243,55,-89,68,99401.25,73.9625
0,12,244,62,-59,50,99401.25,73.9625
1,12,245,61,-62,65,99401.25,73.9625
1,13,244,67,-62,48,99401.25,73.9625
1,13,245,68,-63,54,99401.75,73.9625
1,11,245,67,-60,48,99401.75,73.9625
1,13,244,59,-54,51,99401.75,73.9625
1,13,244,66,-60,53,99401.75,73.9625
1,13,244,67,-67,63,99401.75,73.9625
1,13,244,63,-71,70,99401.75,73.85
2,13,243,62,-78,45,99401.75,73.85
2,13,244,61,-80,45,99401.75,73.85
2,14,246,64,-57,52,99401.75,73.85
1,13,245,59,-64,58,99400.0,73.85
3,12,245,72,-61,59,99400.0,73.85
2,11,245,64,-61,56,99400.0,73.85
1,13,243,78,-69,57,99400.0,73.9625
4,11,244,68,-69,52,99400.0,73.9625
2,12,244,68,-60,60,99400.0,73.9625
1,12,244,74,-66,53,99400.0,73.9625
2,14,245,77,-80,50,99400.0,73.9625
2,13,244,80,-67,51,99400.0,73.9625
2,13,244,70,-76,60,99399.0,73.9625
2,12,245,74,-67,68,99399.0,73.9625
2,12,244,83,-77,61,99399.0,73.9625
3,11,243,66,-65,49,99399.0,73.9625
1,11,245,68,-63,56,99399.0,73.9625
3,15,243,56,-67,62,99399.0,73.9625
2,13,244,60,-73,48,99399.0,73.9625
2,11,244,57,-79,56,99399.0,73.9625
2,13,244,64,-67,63,99399.0,73.9625
2,13,245,62,-69,66,99399.5,73.85
2,13,244,51,-66,39,99399.5,73.85
2,12,245,65,-61,64,99399.5,73.9625
2,13,245,64,-60,57,99399.5,73.9625
2,13,245,61,-63,58,99399.5,73.9625
1,12,245,59,-60,47,99399.5,73.9625
1,13,245,60,-68,63,99399.5,73.9625
3,13,245,67,-56,53,99399.5,73.9625
1,13,247,78,-68,63,99399.5,73.9625
0,14,245,76,-62,56,99402.25,73.9625
1,13,245,67,-66,55,99402.25,73.9625
2,13,246,70,-60,56,99402.25,73.9625
2,13,244,64,-65,69,99402.25,73.9625
